256261|TÜRK DİLİ VE EDEBİYATI PR. (%25 BURSLU)|Önlisans/Lisans Programı|250098|Kapalı|Türkçe|05.05.2014|4
256260|TÜRK DİLİ VE EDEBİYATI PR. (%50 BURSLU)|Önlisans/Lisans Programı|250098|Kapalı|Türkçe|05.05.2014|4
256259|TÜRK DİLİ VE EDEBİYATI PR. (TAM BURSLU)|Önlisans/Lisans Programı|250098|Kapalı|Türkçe|05.05.2014|4
241205|MEDENİYETLER İTTİFAKI UYGULAMA VE ARAŞTIRMA MERKEZİ|Araştırma ve Uygulama Merkezi|163896|Kapalı|Türkçe|12.06.2013|
269525|MÜHENDİSLİK FAKÜLTESİ|Fakülte|163896|Kapalı|Türkçe||
270835|MİMARLIK PR.|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270832|MİMARLIK PR. (%25 BURSLU)|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270833|MİMARLIK PR. (%50 BURSLU)|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270834|MİMARLIK PR. (TAM BURSLU)|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270831|İNŞAAT MÜHENDİSLİĞİ PR.|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270828|İNŞAAT MÜHENDİSLİĞİ PR. (%25 BURSLU)|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270829|İNŞAAT MÜHENDİSLİĞİ PR. (%50 BURSLU)|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
270830|İNŞAAT MÜHENDİSLİĞİ PR. (TAM BURSLU)|Önlisans/Lisans Programı|269525|Kapalı|Türkçe||4
208453|MİMARLIK VE MÜHENDİSLİK FAKÜLTESİ|Fakülte|163896|Kapalı|Türkçe|24.04.2010|
250097|ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ BÖLÜMÜ|Bölüm|208453|Kapalı|Türkçe|29.01.2014|
256447|ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ PR. (İNGİLİZCE) (%25 BURSLU)|Önlisans/Lisans Programı|250097|Kapalı|İngilizce|17.04.2014|4
256446|ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ PR. (İNGİLİZCE) (%50 BURSLU)|Önlisans/Lisans Programı|250097|Kapalı|İngilizce|17.04.2014|4
298382|ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ PR. (İNGİLİZCE) (%75 BURSLU)|Önlisans/Lisans Programı|250097|Kapalı|İngilizce|21.07.2016|4
256445|ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ PR. (İNGİLİZCE) (TAM BURSLU)|Önlisans/Lisans Programı|250097|Kapalı|İngilizce|17.04.2014|4
212949|MİMARLIK BÖLÜMÜ|Bölüm|208453|Kapalı|Türkçe|25.01.2012|
228294|MİMARLIK PR. (%25 BURSLU)|Önlisans/Lisans Programı|212949|Kapalı|Türkçe||4
228293|MİMARLIK PR. (%50 BURSLU)|Önlisans/Lisans Programı|212949|Kapalı|Türkçe||4
228292|MİMARLIK PR. (TAM BURSLU)|Önlisans/Lisans Programı|212949|Kapalı|Türkçe||4
228291|MİMARLIK PR. (ÜCRETLİ)|Önlisans/Lisans Programı|212949|Kapalı|Türkçe||4
213916|İNŞAAT MÜHENDİSLİĞİ BÖLÜMÜ|Bölüm|208453|Kapalı|Türkçe|22.02.2012|
228398|İNŞAAT MÜHENDİSLİĞİ PR. (%25 BURSLU)|Önlisans/Lisans Programı|213916|Kapalı|Türkçe||4
228397|İNŞAAT MÜHENDİSLİĞİ PR. (%50 BURSLU)|Önlisans/Lisans Programı|213916|Kapalı|Türkçe||4
228396|İNŞAAT MÜHENDİSLİĞİ PR. (TAM BURSLU)|Önlisans/Lisans Programı|213916|Kapalı|Türkçe||4
228395|İNŞAAT MÜHENDİSLİĞİ PR. (ÜCRETLİ)|Önlisans/Lisans Programı|213916|Kapalı|Türkçe||4
233037|İÇ MİMARLIK BÖLÜMÜ|Bölüm|208453|Kapalı|Türkçe|31.01.2013|
238853|İÇ MİMARLIK PR. (%25 BURSLU)|Önlisans/Lisans Programı|233037|Kapalı|Türkçe|18.04.2013|4
238852|İÇ MİMARLIK PR. (%50 BURSLU)|Önlisans/Lisans Programı|233037|Kapalı|Türkçe|18.04.2013|4
238851|İÇ MİMARLIK PR. (TAM BURSLU)|Önlisans/Lisans Programı|233037|Kapalı|Türkçe|18.04.2013|4
238854|İÇ MİMARLIK PR. (ÜCRETLİ)|Önlisans/Lisans Programı|233037|Kapalı|Türkçe|18.04.2013|4
214587|REKTÖRLÜK|Rektörlük|163896|Kapalı|Türkçe||
214590|ATATÜRK İLKELERİ VE İNKILAP TARİHİ BÖLÜMÜ|Bölüm|214587|Kapalı|Türkçe|29.03.2012|
214591|ENFORMATİK BÖLÜMÜ|Bölüm|214587|Kapalı|Türkçe|29.03.2012|
214589|TÜRK DİLİ BÖLÜMÜ|Bölüm|214587|Kapalı|Türkçe|29.03.2012|
214588|YABANCI DİLLER BÖLÜMÜ|Bölüm|214587|Kapalı|Türkçe|29.03.2012|
208430|SOSYAL BİLİMLER ENSTİTÜSÜ|Enstitü|163896|Kapalı|Türkçe|24.04.2010|
235459|SAĞLIK KURUMLARI YÖNETİMİ (YL) (TEZSİZ) (İÖ) (OMÜ ORTAK) (ÜCRETLİ)|Yüksek Lisans Programı|208430|Kapalı|Türkçe|01.03.2013|2
262822|TÜRK DİLİ VE EDEBİYATI (YL) (TEZSİZ)|Yüksek Lisans Programı|208430|Kapalı|Türkçe|02.12.2014|2
257799|ULUSLARARASI TİCARET VE İŞLETMECİLİK (YL) (TEZLİ)|Yüksek Lisans Programı|208430|Kapalı|Türkçe|21.05.2014|2
261346|ULUSLARARASI TİCARET VE İŞLETMECİLİK (YL) (TEZSİZ)|Yüksek Lisans Programı|208430|Kapalı|Türkçe|25.09.2014|2
260498|YENİ TÜRK EDEBİYATI (YL) (TEZLİ)|Yüksek Lisans Programı|208430|Kapalı|Türkçe|25.09.2014|2
235304|İŞLETME (YL) (TEZSİZ) (İÖ) (ONDOKUZ MAYIS ORTAK) (ÜCRETLİ)|Yüksek Lisans Programı|208430|Kapalı|Türkçe|01.03.2013|2
227307|SÜREKLİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ|Araştırma ve Uygulama Merkezi|163896|Kapalı|Türkçe|17.10.2012|
247288|TÜRKÇE ÖĞRETİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ|Araştırma ve Uygulama Merkezi|163896|Kapalı|Türkçe|26.11.2013|
279468|UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ|Araştırma ve Uygulama Merkezi|163896|Kapalı|Türkçe|08.07.2015|
237870|YABANCI DİLLER YÜKSEKOKULU|Yüksekokul|163896|Kapalı|Türkçe|25.04.2013|
330789|YABANCI DİLLER BÖLÜMÜ|Bölüm|237870|Aktif|İngilizce|14.09.2017|
259241|YABANCI DİLLER HAZIRLIK BÖLÜMÜ|Bölüm|237870|Kapalı|İngilizce|01.01.1900|
254630|YARATICI ENDÜSTRİLER UYGULAMA VE ARAŞTIRMA MERKEZİ|Araştırma ve Uygulama Merkezi|163896|Kapalı|Türkçe|02.04.2014|
247914|ÇOCUK EDEBİYATI UYGULAMA VE ARAŞTIRMA MERKEZİ|Araştırma ve Uygulama Merkezi|163896|Kapalı|Türkçe|11.12.2013|
208451|İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ|Fakülte|163896|Kapalı|Türkçe|24.04.2010|
250096|SOSYAL HİZMET BÖLÜMÜ|Bölüm|208451|Kapalı|Türkçe|29.01.2014|
233046|SİYASET BİLİMİ VE ULUSLARARASI İLİŞKİLER BÖLÜMÜ|Bölüm|208451|Kapalı|Türkçe|31.01.2013|
